Weapon ID,Name,Type,Manufacturer/Brand,Caliber,Barrel Length (mm),Effective Range (m),Magazine Capacity,Weight (kg),Material,Action Type,Usage,Introduced Year,Price (INR),Popularity,Legal Restrictions
1,"INSAS Rifle","Assault Rifle","Ordnance Factory Board (OFB), India","5.56×45mm",464,400,20,4.15,"Steel and polymer","Gas-operated, rotating bolt","Standard service rifle of the Indian Armed Forces",1998,"33000",Widely used within India,"Restricted to military use"
2,"AK-47","Assault Rifle","Kalashnikov Concern, Russia","7.62×39mm",415,350,30,3.47,"Steel and wood","Gas-operated, rotating bolt","Widely used by military forces worldwide",1949,"50000","Extremely high globally","Restricted or prohibited in many countries"
3,"AK-56","Assault Rifle","Norinco, China","7.62×39mm",415,300,30,3.8,"Steel and wood","Gas-operated, rotating bolt","Used by various military and insurgent groups",1956,"45000","High in regions with Chinese military influence","Restricted or prohibited in many countries"
4,"AK-74","Assault Rifle","Kalashnikov Concern, Russia","5.45×39mm",415,500,30,3.07,"Steel and polymer","Gas-operated, rotating bolt","Standard issue rifle for Soviet and Russian forces",1974,"163689","Widely used in former Soviet states","Restricted or prohibited in many communtries"
5,AK-103,Assault Rifle,Izhevsk Mechanical Plant,5.45×39mm,415,500,30,3.4,Steel,Gas-operated,Military/Defense,2001,200000,High,Restricted in certain countries
6,AK-12,Assault Rifle,Izhevsk Mechanical Plant,5.45×39mm,415,500,30,3.8,Steel,Gas-operated,Military/Defense,2012,220000,High,Restricted in certain countries
7,AKM,Assault Rifle,Izhevsk Mechanical Plant,7.62×39mm,415,400,30,3.1,Steel,Gas-operated,Military/Defense,1959,170000,High,Restricted in certain countries
8,IWI Tavor X95,Assault Rifle,Israel Weapon Industries,5.56×45mm,380,500,30,3.2,Polymer,Gas-operated,Military/Defense,2009,250000,High,Restricted in certain countries
9,IWI X95,Assault Rifle,Israel Weapon Industries,5.56×45mm,380,500,30,3.2,Polymer,Gas-operated,Military/Defense,2009,250000,High,Restricted in certain countries
10,SIG SG 551,Assault Rifle,Swiss Arms,5.56×45mm,460,550,20,3.8,Steel,Gas-operated,Military/Defense,1991,300000,High,Restricted in certain countries
11,SIG SG 550,Assault Rifle,Swiss Arms,5.56×45mm,510,550,30,4,Steel,Gas-operated,Military/Defense,1990,300000,High,Restricted in certain countries
12,Beretta AR70/90,Assault Rifle,Beretta,5.56×45mm,460,500,30,3.9,Steel/Polymer,Gas-operated,Military/Defense,1990,230000,High,Restricted in certain countries
